country,users
United States of America,16854
United Kingdom,4999
Poland,4442
Brazil,2938
Germany,2595
Australia,2526
Russia,2490
Indonesia,2035
Malaysia,1994
Netherlands,1969
Portugal,1899
Philippines,1882
France,1823
Canada,1693
Sweden,1437
Italy,1052
Finland,1005
Norway,985
Romania,924
Turkey,889
Spain,885
Japan,863
India,848
Hungary,757
Singapore,741
Greece,700
Bulgaria,679
Belgium,661
Denmark,543
Mexico,515
Chile,504
Ukraine,491
Israel,472
Saudi Arabia,467
Lithuania,461
Croatia,411
New Zealand,398
Serbia,350
Czechia,350
Georgia,333
Bangladesh,289
Ireland,284
Slovakia,259
Latvia,254
Egypt,250
Estonia,242
South Africa,236
United Arab Emirates,226
Colombia,215
Venezuela,207
Thailand,195
Austria,193
Switzerland,183
Peru,179
Pakistan,164
Kuwait,121
Belarus,119
South Korea,109
Argentina,102
Morocco,88
Iran,84
Hong Kong,76
Slovenia,71
Tunisia,69
Iraq,66
Bahrain,66
Costa Rica,65
Uruguay,64
Jordan,63
Oman,62
Algeria,55
Qatar,54
Malta,52
Kazakhstan,49
Iceland,49
Mongolia,48
Sri Lanka,46
Lebanon,42
Guatemala,42
Ecuador,42
Nepal,36
Brunei,35
Jamaica,35
Syria,31
Mauritius,31
Libya,29
Luxembourg,27
Taiwan,27
Dominican Republic,25
Azerbaijan,25
Vietnam,23
Paraguay,22
El Salvador,21
Moldova,21
Cyprus,20
Nigeria,18
Trinidad and Tobago,17
Myanmar,16
Honduras,16
Montenegro,15
Palestine,15
Sudan,15
China,14
Albania,14
Maldives,13
Bolivia,9
Bahamas,7
Barbados,6
Angola,6
Uzbekistan,5
Yemen,5
Zimbabwe,5
Armenia,5
Belize,5
Cambodia,5
Fiji,5
North Korea,4
Andorra,4
Liechtenstein,3
Nicaragua,3
Bhutan,3
Uganda,3
Dominica,3
Kenya,3
Macau,2
San Marino,2
Djibouti,2
Cuba,2
Haiti,2
Chad,1
Saint Lucia,1
Solomon Islands,1
Somalia,1
Vatican City,1
Mozambique,1
Mauritania,1
Congo,1
Mali,1
Madagascar,1
Laos,1
Kiribati,1
Gabon,1
Samoa,1
Togo,1
