,title,watch_count
3802,Death Note,1456378
3897,Shingeki no Kyojin,1345842
3009,Sword Art Online,1301616
1261,Fullmetal Alchemist: Brotherhood,1199091
4215,One Punch Man,1020754
630,Tokyo Ghoul,1013138
6523,Angel Beats!,1010771
1475,Steins;Gate,1010330
6579,Code Geass: Hangyaku no Lelouch,986897
2199,Naruto,980265
3108,No Game No Life,970460
4379,Mirai Nikki (TV),964441
19,Toradora!,910373
2625,Ao no Exorcist,863098
3022,Noragami,846498
4171,Elfen Lied,833388
2538,Sword Art Online II,830508
14,Bleach,819284
116,Fairy Tail,818652
17,Naruto: Shippuuden,794112
